_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,category,category:confidence,image_broken,image_broken:confidence,category_gold,image_broken_gold,image_url,number,tag_1,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,val_1,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9
716864706,FALSE,finalized,3,5/7/15 10:30,1387-933282,1,,1,,,https://t.pimg.jp/002/018/398/1/2018398.jpg,2018398,play equipment,,,,,,,,,plaything,,,,,,,,1387-933282,,,,,,,,,1387-698701,,,,,,,
716864707,FALSE,finalized,3,5/7/15 11:29,1431-683438,1,,1,,,https://t.pimg.jp/002/023/870/1/2023870.jpg,2023870,ascending,,,,,,,,,climbing,promotion,rise,rising,,,,,1431-683438,,,,,,,,,1431-686619,1431-681614,1431-700385,1431-700389,,,,
716864708,FALSE,finalized,3,5/7/15 9:29,13933-774644,1,,1,,,https://t.pimg.jp/002/023/870/1/2023870.jpg,2023870,banknote,paper-money,,,,,,,,banknotes,bank notes,bill,bills,currency notes,notes,paper currency,paper money,13933-684020,13933-758519,,,,,,,,13933-684021,13933-709718,13933-684510,13933-684519,13933-709721,13933-679374,13933-721846,13933-774644
716864709,FALSE,finalized,3,5/7/15 10:13,none,0.7,,1,,,https://t.pimg.jp/002/031/392/1/2031392.jpg,2031392,bell-pepper,,,,,,,,,paprica,paprika,paprikas,,,,,,7289-764678,,,,,,,,,7289-726231,7289-697827,7289-752513,,,,,
716864710,FALSE,finalized,3,5/7/15 14:10,1387-933282,1,,1,,,https://t.pimg.jp/002/033/933/1/2033933.jpg,2033933,play equipment,,,,,,,,,plaything,,,,,,,,1387-933282,,,,,,,,,1387-698701,,,,,,,
716864711,FALSE,finalized,3,5/7/15 10:55,4019-1585600,1,,1,,,https://t.pimg.jp/002/045/773/1/2045773.jpg,2045773,variety of cherry tree with drooping branches,,,,,,,,,weeping cherry,weeping cherry tree,,,,,,,4019-1585600,,,,,,,,,4019-828704,4019-830145,,,,,,
716864712,FALSE,finalized,3,5/7/15 13:40,No data available,4.4688,,1,,,https://t.pimg.jp/002/046/587/1/2046587.jpg,2046587,block,,,,,,,,,bricks,building block,building blocks,,,,,,24042-684673,,,,,,,,,24042-685144,24042-685322,24042-804417,,,,,
716864713,FALSE,finalized,3,5/7/15 9:45,2617-702232,1,,1,,,https://t.pimg.jp/002/048/949/1/2048949.jpg,2048949,nose,,,,,,,,,snout,,,,,,,,2617-696902,,,,,,,,,2617-702232,,,,,,,
716864714,FALSE,finalized,3,5/7/15 9:02,14652-700970,1,,1,,,https://t.pimg.jp/002/048/949/1/2048949.jpg,2048949,scarf,,,,,,,,,scarves,,,,,,,,14652-700970,,,,,,,,,14652-750529,,,,,,,
716864715,FALSE,finalized,3,5/7/15 9:43,21436-679492,0.7,,1,,,https://t.pimg.jp/002/049/956/1/2049956.jpg,2049956,cry,,,,,,,,,cry out,scream,screaming,shout,shouting,yell,yelling,,21436-687786,,,,,,,,,21436-687787,21436-679473,21436-679474,21436-679491,21436-679492,21436-679633,21436-706735,
716864716,FALSE,finalized,3,5/7/15 13:17,6720-704956,1,,1,,,https://t.pimg.jp/002/054/335/1/2054335.jpg,2054335,confidence,,,,,,,,,faith,reliance,trust,,,,,,6720-680387,,,,,,,,,6720-690074,6720-713132,6720-704956,,,,,
716864717,FALSE,finalized,3,5/7/15 10:23,6720-704956,1,,1,,,https://t.pimg.jp/002/055/578/1/2055578.jpg,2055578,confidence,,,,,,,,,faith,reliance,trust,,,,,,6720-680387,,,,,,,,,6720-690074,6720-713132,6720-704956,,,,,
716864718,FALSE,finalized,3,5/7/15 14:39,19855-702258,1,,1,,,https://t.pimg.jp/002/059/037/1/2059037.jpg,2059037,snowflake,,,,,,,,,snowflakes,,,,,,,,19855-681890,,,,,,,,,19855-702258,,,,,,,
716864719,FALSE,finalized,3,5/7/15 13:39,none,0.3529,,1,,,https://t.pimg.jp/002/060/040/1/2060040.jpg,2060040,wire,,,,,,,,,wires,,,,,,,,10767-706428,,,,,,,,,10767-706436,,,,,,,
716864720,FALSE,finalized,3,5/7/15 13:09,No data available,5.5,,1,,,https://t.pimg.jp/002/061/299/1/2061299.jpg,2061299,snowflake,,,,,,,,,snowflakes,,,,,,,,19855-681890,,,,,,,,,19855-702258,,,,,,,
716864721,FALSE,finalized,3,5/7/15 9:42,none,0.3793,,1,,,https://t.pimg.jp/002/073/204/1/2073204.jpg,2073204,middle east,,,,,,,,,middle-east,middle eastern,,,,,,,411-695899,,,,,,,,,411-773429,411-711001,,,,,,
716864722,FALSE,finalized,3,5/7/15 9:23,7289-764678,1,,1,,,https://t.pimg.jp/002/078/450/1/2078450.jpg,2078450,bell-pepper,,,,,,,,,paprica,paprika,paprikas,,,,,,7289-764678,,,,,,,,,7289-726231,7289-697827,7289-752513,,,,,
716864723,FALSE,finalized,3,5/7/15 9:54,10767-706436,0.6562,,1,,,https://t.pimg.jp/002/081/615/1/2081615.jpg,2081615,wire,,,,,,,,,wires,,,,,,,,10767-706428,,,,,,,,,10767-706436,,,,,,,
716864724,FALSE,finalized,3,5/7/15 9:46,34225-681637,0.6897,,1,,,https://t.pimg.jp/002/086/029/1/2086029.jpg,2086029,race,,,,,,,,,races,,,,,,,,34225-681636,,,,,,,,,34225-681637,,,,,,,
716864725,FALSE,finalized,3,5/7/15 11:45,21436-679492,1,,1,,,https://t.pimg.jp/002/088/818/1/2088818.jpg,2088818,cry,,,,,,,,,cry out,scream,screaming,shout,shouting,yell,yelling,,21436-687786,,,,,,,,,21436-687787,21436-679473,21436-679474,21436-679491,21436-679492,21436-679633,21436-706735,
716864726,FALSE,finalized,3,5/7/15 13:48,none,0.6875,,1,,,https://t.pimg.jp/002/093/885/1/2093885.jpg,2093885,pad,,,,,,,,,pads,,,,,,,,32673-697684,,,,,,,,,32673-697695,,,,,,,
716864727,FALSE,finalized,3,5/7/15 9:52,32673-697695,0.6667,,1,,,https://t.pimg.jp/002/093/886/1/2093886.jpg,2093886,pad,,,,,,,,,pads,,,,,,,,32673-697684,,,,,,,,,32673-697695,,,,,,,
716864728,FALSE,finalized,3,5/7/15 10:46,6513-681207,0.6774,,1,,,https://t.pimg.jp/002/096/039/1/2096039.jpg,2096039,mail,,,,,,,,,post,postal service,,,,,,,6513-681207,,,,,,,,,6513-681582,6513-707268,,,,,,
716864729,FALSE,finalized,3,5/7/15 10:50,12344-686781,1,,1,,,https://t.pimg.jp/002/097/406/1/2097406.jpg,2097406,coffeecup,,,,,,,,,coffee cup,,,,,,,,12344-686791,,,,,,,,,12344-686781,,,,,,,
716864730,FALSE,finalized,3,5/7/15 10:37,2601-820465,1,,1,,,https://t.pimg.jp/002/098/913/1/2098913.jpg,2098913,aquarelle,,,,,,,,,watercolor,water color,watercolor painting,watercolour painting,,,,,2601-727019,,,,,,,,,2601-706011,2601-820465,2601-721868,2601-1434534,,,,
716864731,FALSE,finalized,3,5/7/15 14:21,1387-933282,1,,1,,,https://t.pimg.jp/002/102/137/1/2102137.jpg,2102137,play equipment,,,,,,,,,plaything,,,,,,,,1387-933282,,,,,,,,,1387-698701,,,,,,,
716864732,FALSE,finalized,3,5/7/15 10:50,none,0.3448,,1,,,https://t.pimg.jp/002/105/780/1/2105780.jpg,2105780,wire,,,,,,,,,wires,,,,,,,,10767-706428,,,,,,,,,10767-706436,,,,,,,
716864733,FALSE,finalized,3,5/7/15 9:17,7289-764678,0.6452,,1,,,https://t.pimg.jp/002/110/784/1/2110784.jpg,2110784,bell-pepper,,,,,,,,,paprica,paprika,paprikas,,,,,,7289-764678,,,,,,,,,7289-726231,7289-697827,7289-752513,,,,,
716864734,FALSE,finalized,3,5/7/15 10:38,2601-721868,0.6875,,1,,,https://t.pimg.jp/002/115/325/1/2115325.jpg,2115325,aquarelle,,,,,,,,,watercolor,water color,watercolor painting,watercolour painting,,,,,2601-727019,,,,,,,,,2601-706011,2601-820465,2601-721868,2601-1434534,,,,
716864735,FALSE,finalized,3,5/7/15 14:05,2601-820465,1,,1,,,https://t.pimg.jp/002/115/645/1/2115645.jpg,2115645,aquarelle,,,,,,,,,watercolor,water color,watercolor painting,watercolour painting,,,,,2601-727019,,,,,,,,,2601-706011,2601-820465,2601-721868,2601-1434534,,,,
716864736,FALSE,finalized,3,5/7/15 10:34,8699-690177,0.7097,,1,,,https://t.pimg.jp/002/116/422/1/2116422.jpg,2116422,fast food,,,,,,,,,fast-food,,,,,,,,8699-690173,,,,,,,,,8699-690177,,,,,,,
716864737,FALSE,finalized,3,5/7/15 13:44,none,0.6667,,1,,,https://t.pimg.jp/002/122/840/1/2122840.jpg,2122840,hair salon,,,,,,,,,hair-salon,,,,,,,,44741-795792,,,,,,,,,44741-692204,,,,,,,
716864738,FALSE,finalized,3,5/7/15 10:50,none,0.6875,,1,,,https://t.pimg.jp/002/125/255/1/2125255.jpg,2125255,mail,,,,,,,,,post,postal service,,,,,,,6513-681207,,,,,,,,,6513-681582,6513-707268,,,,,,
716864739,FALSE,finalized,3,5/7/15 9:03,23549-683611,1,,1,,,https://t.pimg.jp/002/128/519/1/2128519.jpg,2128519,aubergine,,,,,,,,,eggplant,,,,,,,,23549-683611,,,,,,,,,23549-689307,,,,,,,
716864740,FALSE,finalized,3,5/7/15 9:10,none,0.6333,,1,,,https://t.pimg.jp/002/134/420/1/2134420.jpg,2134420,scarf,,,,,,,,,scarves,,,,,,,,14652-700970,,,,,,,,,14652-750529,,,,,,,
716864741,FALSE,finalized,3,5/7/15 13:12,6720-704956,1,,1,,,https://t.pimg.jp/002/134/500/1/2134500.jpg,2134500,confidence,,,,,,,,,faith,reliance,trust,,,,,,6720-680387,,,,,,,,,6720-690074,6720-713132,6720-704956,,,,,
716864742,FALSE,finalized,3,5/7/15 10:24,2601-721868,1,,1,,,https://t.pimg.jp/002/142/136/1/2142136.jpg,2142136,aquarelle,,,,,,,,,watercolor,water color,watercolor painting,watercolour painting,,,,,2601-727019,,,,,,,,,2601-706011,2601-820465,2601-721868,2601-1434534,,,,
716864743,FALSE,finalized,3,5/7/15 15:42,none,1,,1,,,https://t.pimg.jp/002/148/446/1/2148446.jpg,2148446,middle east,,,,,,,,,middle-east,middle eastern,,,,,,,411-695899,,,,,,,,,411-773429,411-711001,,,,,,
716864744,FALSE,finalized,3,5/7/15 9:19,19855-702258,1,,1,,,https://t.pimg.jp/002/156/259/1/2156259.jpg,2156259,snowflake,,,,,,,,,snowflakes,,,,,,,,19855-681890,,,,,,,,,19855-702258,,,,,,,
716864745,FALSE,finalized,3,5/7/15 9:53,12344-686791,0.6774,,1,,,https://t.pimg.jp/002/159/004/1/2159004.jpg,2159004,coffeecup,,,,,,,,,coffee cup,,,,,,,,12344-686791,,,,,,,,,12344-686781,,,,,,,
716864746,FALSE,finalized,3,5/7/15 11:17,2617-696902,0.6452,,1,,,https://t.pimg.jp/002/159/604/1/2159604.jpg,2159604,nose,,,,,,,,,snout,,,,,,,,2617-696902,,,,,,,,,2617-702232,,,,,,,
716864747,FALSE,finalized,3,5/7/15 10:35,7289-726231,1,,1,,,https://t.pimg.jp/002/163/968/1/2163968.jpg,2163968,bell-pepper,,,,,,,,,paprica,paprika,paprikas,,,,,,7289-764678,,,,,,,,,7289-726231,7289-697827,7289-752513,,,,,
716864748,FALSE,finalized,3,5/7/15 9:23,1387-933282,0.6774,,1,,,https://t.pimg.jp/002/170/188/1/2170188.jpg,2170188,play equipment,,,,,,,,,plaything,,,,,,,,1387-933282,,,,,,,,,1387-698701,,,,,,,
716864749,FALSE,finalized,3,5/7/15 13:18,none,1,,1,,,https://t.pimg.jp/002/171/707/1/2171707.jpg,2171707,fast food,,,,,,,,,fast-food,,,,,,,,8699-690173,,,,,,,,,8699-690177,,,,,,,
716864750,FALSE,finalized,3,5/7/15 11:22,21436-679492,1,,1,,,https://t.pimg.jp/002/174/647/1/2174647.jpg,2174647,cry,,,,,,,,,cry out,scream,screaming,shout,shouting,yell,yelling,,21436-687786,,,,,,,,,21436-687787,21436-679473,21436-679474,21436-679491,21436-679492,21436-679633,21436-706735,
716864751,FALSE,finalized,3,5/7/15 9:05,7279-689357,1,,1,,,https://t.pimg.jp/002/176/824/1/2176824.jpg,2176824,electric light,,,,,,,,,lamp,lamps,,,,,,,7279-689357,,,,,,,,,7279-681110,7279-681111,,,,,,
716864752,FALSE,finalized,3,5/7/15 14:01,none,0.6786,,1,,,https://t.pimg.jp/002/183/217/1/2183217.jpg,2183217,nose,,,,,,,,,snout,,,,,,,,2617-696902,,,,,,,,,2617-702232,,,,,,,
716864753,FALSE,finalized,3,5/7/15 10:58,6513-707268,1,,1,,,https://t.pimg.jp/002/190/502/1/2190502.jpg,2190502,mail,,,,,,,,,post,postal service,,,,,,,6513-681207,,,,,,,,,6513-681582,6513-707268,,,,,,
716864754,FALSE,finalized,3,5/7/15 10:10,16296-681159,1,,1,,,https://t.pimg.jp/002/193/453/1/2193453.jpg,2193453,childish,,,,,,,,,little,very young,,,,,,,16296-679114,,,,,,,,,16296-681159,16296-2059942,,,,,,
716864755,FALSE,finalized,3,5/7/15 13:43,1387-933282,1,,1,,,https://t.pimg.jp/002/193/627/1/2193627.jpg,2193627,play equipment,,,,,,,,,plaything,,,,,,,,1387-933282,,,,,,,,,1387-698701,,,,,,,
716864756,FALSE,finalized,3,5/7/15 11:25,16296-679114,1,,1,,,https://t.pimg.jp/002/193/627/1/2193627.jpg,2193627,childish,,,,,,,,,little,very young,,,,,,,16296-679114,,,,,,,,,16296-681159,16296-2059942,,,,,,
716864757,FALSE,finalized,3,5/7/15 11:22,1387-933282,1,,1,,,https://t.pimg.jp/002/195/224/1/2195224.jpg,2195224,play equipment,,,,,,,,,plaything,,,,,,,,1387-933282,,,,,,,,,1387-698701,,,,,,,
716864758,FALSE,finalized,3,5/7/15 9:43,61772-678986,1,,1,,,https://t.pimg.jp/002/195/224/1/2195224.jpg,2195224,be glad,,,,,,,,,delighted,happy,pleased,,,,,,61772-1032005,,,,,,,,,61772-680484,61772-678986,61772-681560,,,,,
716864759,FALSE,finalized,3,5/7/15 9:28,1431-700389,1,,1,,,https://t.pimg.jp/002/198/669/1/2198669.jpg,2198669,ascending,,,,,,,,,climbing,promotion,rise,rising,,,,,1431-683438,,,,,,,,,1431-686619,1431-681614,1431-700385,1431-700389,,,,
716864760,FALSE,finalized,3,5/7/15 12:56,1650-765604,1,,1,,,https://t.pimg.jp/002/200/150/1/2200150.jpg,2200150,fresh leaves,,,,,,,,,green leaves,,,,,,,,1650-1584464,,,,,,,,,1650-765604,,,,,,,
716864761,FALSE,finalized,3,5/7/15 10:32,4019-830145,0.6774,,1,,,https://t.pimg.jp/002/200/674/1/2200674.jpg,2200674,variety of cherry tree with drooping branches,,,,,,,,,weeping cherry,weeping cherry tree,,,,,,,4019-1585600,,,,,,,,,4019-828704,4019-830145,,,,,,
716864762,FALSE,finalized,3,5/7/15 9:00,7289-752513,0.6562,,1,,,https://t.pimg.jp/002/201/193/1/2201193.jpg,2201193,bell-pepper,,,,,,,,,paprica,paprika,paprikas,,,,,,7289-764678,,,,,,,,,7289-726231,7289-697827,7289-752513,,,,,
716864763,FALSE,finalized,3,5/7/15 12:17,27355-1587310,0.6875,,1,,,https://t.pimg.jp/002/202/951/1/2202951.jpg,2202951,face down,,,,,,,,,prone position,,,,,,,,27355-792633,,,,,,,,,27355-1587310,,,,,,,
716864764,FALSE,finalized,3,5/7/15 9:43,9634-686364,1,,1,,,https://t.pimg.jp/002/203/093/1/2203093.jpg,2203093,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864765,FALSE,finalized,3,5/7/15 10:57,9634-686364,1,,1,,,https://t.pimg.jp/002/203/116/1/2203116.jpg,2203116,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864766,FALSE,finalized,3,5/7/15 10:14,9634-686364,1,,1,,,https://t.pimg.jp/002/203/289/1/2203289.jpg,2203289,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864767,FALSE,finalized,3,5/7/15 12:39,9634-686364,1,,1,,,https://t.pimg.jp/002/203/518/1/2203518.jpg,2203518,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864768,FALSE,finalized,3,5/7/15 9:18,9634-686364,1,,1,,,https://t.pimg.jp/002/203/607/1/2203607.jpg,2203607,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864769,FALSE,finalized,3,5/7/15 15:42,9634-686364,1,,1,,,https://t.pimg.jp/002/203/609/1/2203609.jpg,2203609,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864770,FALSE,finalized,3,5/7/15 14:39,9634-686364,1,,1,,,https://t.pimg.jp/002/203/789/1/2203789.jpg,2203789,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864771,FALSE,finalized,3,5/7/15 13:39,9634-686364,1,,1,,,https://t.pimg.jp/002/203/893/1/2203893.jpg,2203893,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864772,FALSE,finalized,3,5/7/15 9:47,9634-686364,1,,1,,,https://t.pimg.jp/002/204/052/1/2204052.jpg,2204052,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864773,FALSE,finalized,3,5/7/15 9:29,9634-686364,1,,1,,,https://t.pimg.jp/002/204/124/1/2204124.jpg,2204124,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864774,FALSE,finalized,3,5/7/15 9:43,12344-686781,0.7,,1,,,https://t.pimg.jp/002/206/687/1/2206687.jpg,2206687,coffeecup,,,,,,,,,coffee cup,,,,,,,,12344-686791,,,,,,,,,12344-686781,,,,,,,
716864775,FALSE,finalized,3,5/7/15 9:01,13933-774644,1,,1,,,https://t.pimg.jp/002/207/591/1/2207591.jpg,2207591,banknote,paper-money,,,,,,,,banknotes,bank notes,bill,bills,currency notes,notes,paper currency,paper money,13933-684020,13933-758519,,,,,,,,13933-684021,13933-709718,13933-684510,13933-684519,13933-709721,13933-679374,13933-721846,13933-774644
716864776,FALSE,finalized,3,5/7/15 9:21,13933-774644,0.6562,,1,,,https://t.pimg.jp/002/207/593/1/2207593.jpg,2207593,banknote,paper-money,,,,,,,,banknotes,bank notes,bill,bills,currency notes,notes,paper currency,paper money,13933-684020,13933-758519,,,,,,,,13933-684021,13933-709718,13933-684510,13933-684519,13933-709721,13933-679374,13933-721846,13933-774644
716864777,FALSE,finalized,3,5/7/15 9:02,7279-689357,1,,1,,,https://t.pimg.jp/002/214/518/1/2214518.jpg,2214518,electric light,,,,,,,,,lamp,lamps,,,,,,,7279-689357,,,,,,,,,7279-681110,7279-681111,,,,,,
716864778,FALSE,finalized,3,5/7/15 9:52,7279-681111,1,,1,,,https://t.pimg.jp/002/216/781/1/2216781.jpg,2216781,electric light,,,,,,,,,lamp,lamps,,,,,,,7279-689357,,,,,,,,,7279-681110,7279-681111,,,,,,
716864779,FALSE,finalized,3,5/7/15 11:07,13933-774644,0.3438,,1,,,https://t.pimg.jp/002/216/811/1/2216811.jpg,2216811,banknote,paper-money,,,,,,,,banknotes,bank notes,bill,bills,currency notes,notes,paper currency,paper money,13933-684020,13933-758519,,,,,,,,13933-684021,13933-709718,13933-684510,13933-684519,13933-709721,13933-679374,13933-721846,13933-774644
716864780,FALSE,finalized,3,5/7/15 14:38,19855-702258,1,,1,,,https://t.pimg.jp/002/222/827/1/2222827.jpg,2222827,snowflake,,,,,,,,,snowflakes,,,,,,,,19855-681890,,,,,,,,,19855-702258,,,,,,,
716864781,FALSE,finalized,3,5/7/15 9:23,14652-700970,1,,1,,,https://t.pimg.jp/002/226/271/1/2226271.jpg,2226271,scarf,,,,,,,,,scarves,,,,,,,,14652-700970,,,,,,,,,14652-750529,,,,,,,
716864782,FALSE,finalized,3,5/7/15 14:14,120000-679315,1,,1,,,https://t.pimg.jp/002/232/825/1/2232825.jpg,2232825,lab,,,,,,,,,laboratories,laboratory,seminar room,study room,,,,,120000-694365,,,,,,,,,120000-715025,120000-679315,120000-872951,120000-802865,,,,
716864783,FALSE,finalized,3,5/7/15 12:55,none,0.6667,,1,,,https://t.pimg.jp/002/234/201/1/2234201.jpg,2234201,variety of cherry tree with drooping branches,,,,,,,,,weeping cherry,weeping cherry tree,,,,,,,4019-1585600,,,,,,,,,4019-828704,4019-830145,,,,,,
716864784,FALSE,finalized,3,5/7/15 9:55,No data available,0.6875,,1,,,https://t.pimg.jp/002/235/424/1/2235424.jpg,2235424,middle east,,,,,,,,,middle-east,middle eastern,,,,,,,411-695899,,,,,,,,,411-773429,411-711001,,,,,,
716864785,FALSE,finalized,3,5/7/15 9:01,16296-681159,1,,1,,,https://t.pimg.jp/002/242/988/1/2242988.jpg,2242988,childish,,,,,,,,,little,very young,,,,,,,16296-679114,,,,,,,,,16296-681159,16296-2059942,,,,,,
716864786,FALSE,finalized,3,5/7/15 12:50,2617-702232,1,,1,,,https://t.pimg.jp/002/246/888/1/2246888.jpg,2246888,nose,,,,,,,,,snout,,,,,,,,2617-696902,,,,,,,,,2617-702232,,,,,,,
716864787,FALSE,finalized,3,5/7/15 11:34,12344-686781,1,,1,,,https://t.pimg.jp/002/247/794/1/2247794.jpg,2247794,coffeecup,,,,,,,,,coffee cup,,,,,,,,12344-686791,,,,,,,,,12344-686781,,,,,,,
716864788,FALSE,finalized,3,5/7/15 11:07,13933-721846,0.6667,,1,,,https://t.pimg.jp/002/248/308/1/2248308.jpg,2248308,banknote,paper-money,,,,,,,,banknotes,bank notes,bill,bills,currency notes,notes,paper currency,paper money,13933-684020,13933-758519,,,,,,,,13933-684021,13933-709718,13933-684510,13933-684519,13933-709721,13933-679374,13933-721846,13933-774644
716864789,FALSE,finalized,3,5/7/15 9:37,none,0.3333,,1,,,https://t.pimg.jp/002/251/729/1/2251729.jpg,2251729,confidence,,,,,,,,,faith,reliance,trust,,,,,,6720-680387,,,,,,,,,6720-690074,6720-713132,6720-704956,,,,,
716864790,FALSE,finalized,3,5/7/15 10:37,7289-764678,1,,1,,,https://t.pimg.jp/002/255/537/1/2255537.jpg,2255537,bell-pepper,,,,,,,,,paprica,paprika,paprikas,,,,,,7289-764678,,,,,,,,,7289-726231,7289-697827,7289-752513,,,,,
716864791,FALSE,finalized,3,5/7/15 9:45,9634-686364,1,,1,,,https://t.pimg.jp/002/256/130/1/2256130.jpg,2256130,chip,,,,,,,,,gratuity,tip,,,,,,,9634-686364,,,,,,,,,9634-691907,9634-704435,,,,,,
716864792,FALSE,finalized,3,5/7/15 12:15,12344-686781,1,,1,,,https://t.pimg.jp/002/257/013/1/2257013.jpg,2257013,coffeecup,,,,,,,,,coffee cup,,,,,,,,12344-686791,,,,,,,,,12344-686781,,,,,,,
716864793,FALSE,finalized,3,5/7/15 13:40,10767-706436,0.6961,,1,,,https://t.pimg.jp/002/264/045/1/2264045.jpg,2264045,wire,,,,,,,,,wires,,,,,,,,10767-706428,,,,,,,,,10767-706436,,,,,,,
